id,date,time,name,size,type,price
2015-000001,01/01/2015,11:38:36,hawaiian,M,classic,13.25
2015-000002,01/01/2015,11:57:40,classic_dlx,M,classic,16
2015-000002,01/01/2015,11:57:40,mexicana,M,veggie,16
2015-000002,01/01/2015,11:57:40,thai_ckn,L,chicken,20.75
2015-000002,01/01/2015,11:57:40,five_cheese,L,veggie,18.5
2015-000002,01/01/2015,11:57:40,ital_supr,L,supreme,20.75
2015-000003,01/01/2015,12:12:28,prsc_argla,L,supreme,20.75
2015-000003,01/01/2015,12:12:28,ital_supr,M,supreme,16.5
2015-000004,01/01/2015,12:16:31,ital_supr,M,supreme,16.5
2015-000005,01/01/2015,12:21:30,ital_supr,M,supreme,16.5
2015-000006,01/01/2015,12:29:36,bbq_ckn,S,chicken,12.75
2015-000006,01/01/2015,12:29:36,the_greek,S,classic,12
2015-000007,01/01/2015,12:50:37,spinach_supr,S,supreme,12.5
2015-000008,01/01/2015,12:51:37,spinach_supr,S,supreme,12.5
2015-000009,01/01/2015,12:52:01,ital_supr,L,supreme,20.75
2015-000009,01/01/2015,12:52:01,mexicana,S,veggie,12
2015-000009,01/01/2015,12:52:01,spin_pesto,L,veggie,20.75
2015-000009,01/01/2015,12:52:01,spicy_ital,L,supreme,20.75
2015-000009,01/01/2015,12:52:01,ital_cpcllo,L,classic,20.5
2015-000009,01/01/2015,12:52:01,veggie_veg,S,veggie,12
2015-000009,01/01/2015,12:52:01,green_garden,S,veggie,12
2015-000009,01/01/2015,12:52:01,classic_dlx,S,classic,12
2015-000009,01/01/2015,12:52:01,ital_supr,S,supreme,12.5
2015-000010,01/01/2015,13:00:15,mexicana,L,veggie,20.25
2015-000010,01/01/2015,13:00:15,southw_ckn,L,chicken,20.75
2015-000011,01/01/2015,13:02:59,pepperoni,L,classic,15.25
2015-000011,01/01/2015,13:02:59,cali_ckn,L,chicken,20.75
2015-000011,01/01/2015,13:02:59,cali_ckn,M,chicken,16.75
2015-000011,01/01/2015,13:02:59,bbq_ckn,L,chicken,20.75
2015-000012,01/01/2015,13:04:41,cali_ckn,S,chicken,12.75
2015-000012,01/01/2015,13:04:41,ital_supr,M,supreme,16.5
2015-000012,01/01/2015,13:04:41,cali_ckn,L,chicken,20.75
2015-000012,01/01/2015,13:04:41,ckn_pesto,L,chicken,20.75
2015-000013,01/01/2015,13:11:55,mexicana,L,veggie,20.25
2015-000014,01/01/2015,13:14:19,the_greek,S,classic,12
2015-000015,01/01/2015,13:33:00,big_meat,S,classic,12
